Data de envio,Data de resposta,Dias sem resposta,Nome do Órgão,Sigla do Órgão,Esfera,Meio de contato,Pedido,Status,Histórico,Texto,Resposta
2020-07-03,,458,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,Formulário do portal da transparência,Acesso por máquina ao Diário Oficial para possibilitar a raspagem de dados,SEM RESPOSTA,03/07/2020 Pedido de acesso por máquina. Protocolo: 36681/20,"Desde modificação no certificado da página do Diário Oficial não é possível fazer acesso por máquina, como determinado na Lei de Acesso à Informação (http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm).
Além de infringir a lei de acesso, o certificado não está bem configurado e apresenta várias falhas de segurança. Um relatório de análise do SSL do site pode ser visto aqui:
https://www.ssllabs.com/ssltest/analyze.html?d=www.diariooficial.feiradesantana.ba.gov.br

Solicito modificação do certificado para um mais atual e seguro e, principalmente, que suporte acesso por máquina conforme determinado na lei.",
2020-07-03,,458,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,Formulário do portal da transparência,Reclamações recebidas pelo app FalaFeira,SEM RESPOSTA,"03/07/2020 - Pedido feito à Prefeitura. Protocolo: 37031/20
31/08/2020 - Denuncia ao TCM-BA
29/10/2020 - Email ao TCM-BA para confirmação de recebimento da denúncia","Prezados, tudo bem?

Com base na Lei 12.527/2011, solicito acesso à todas as mensagens e comunicações realizadas pelo aplicativo Fala Feira, de forma anonimizada contendo apenas bairro de origem do pedido, desde o lançamento do aplicativo (29/11/2018) até hoje (03/07/2020), em formato digital e aberto.",
2020-07-03,,0,Tribunal de Contas dos Municípios da Bahia,TCM-BA,MUNICIPAL,https://www.tcm.ba.gov.br/protocolo-virtual/,Pedido de acesso aos CPFs mascarados para análise de servidores que receberam o auxílio emergencial,RESPONDIDO,03/07/2020 Abertura do pedido https://www.tcm.ba.gov.br/protocolo-virtual/situacao-do-protocolo-virtual/?codProtocolo=2020070323018082414,"Os dados dos beneficiários do auxílio emergencial foram divulgados pelo Ministério da Cidadania. Utilizando os dados disponíveis no TCM-BA, cruzamos os nomes dos beneficiários com os nomes dos servidores. Encontramos vários nomes mas sabemos que muitos podem ser homônimos.
Com base na Lei de Acesso à Informação, gostaria de solicitar acesso ao CPF mascarado de todos os servidores municipais de Feira de Santana (assim como na base de dados do auxílio e.g. ***.783.865-**) para que possamos cruzar os dados com maior segurança ou que o TCM-BA possa cruzar esses dados com a base oficial do Ministério da Cidadania e disponibilizar quantos servidores receberam o auxílio indevidamente.
Em anexo uma planilha com todos os nomes de servidores encontrados dentre os beneficiários do auxílio emergencial em Feira de Santana.",
2020-07-17,,0,Ministério da Economia,,FEDERAL,https://esic.cgu.gov.br/,Pedido de acesso aos CPFs mascarados para análise de servidores que receberam o auxílio emergencial,RESPONDIDO,"17/07/2020 Abertura do pedido - protocolo 03006.013164/2020-97
07/08/2020 Acesso negado sob justificativa de que seria necessário análise dos dados","O ministério da Cidadania junto com a CGU passou a disponibilizar os beneficiários do auxílio emergencial oferecido em razão da pandemia.
Gostaria de saber quais servidores municipais da cidade de Feira de Santana receberam o benefício porém não posso fazer o cruzamento adequado dos dados sem os CPFs.
No site do Tribunal de Contas dos Municípios da Bahia é possível visualizar todos os nomes, com matrícula, salários e cargo. Porém não tem a informação do CPF, ainda que mascarado, como disponibilizado na base do ministério da Cidadania (e.g. ***.779.295-**). Ao entrar em contato com o Tribunal de Contas dos Municípios me informaram que o tribunal não possui essa informação e que deveria pedir esses dados a Receita Federal.
Os nomes dos servidores municipais que foram encontrados dentre os beneficiários do auxílio emergencial em Abril e Maio encontra-se em anexo. Gostaria de solicitar acesso ao CPF mascarado, conforme padrão da base disponibilizada ***.779.295-**, desses servidores ou de todos os servidores municipais da cidade de Feira de Santana dos meses de Abril e Maio.",
2020-07-27,,434,Secretaria de Comunicação do Estado da Bahia,SECOM-BA,ESTADUAL,http://www.tag.ouvidoriageral.ba.gov.br/tag/TagHub20190718.dll/EXEC,Informação sobre despesas com disparos em massa para o WhatsApp feitos em meados da inauguração do HGCA II,EM RECURSO,"27/07/2020 Abertura do pedido
30/07/2020 Apresentação de recurso
04/08/2020 Apresentação do segundo recurso","Olá. Com base na Lei de Acesso à Informação, gostaria de saber da Secretaria de Comunicação do Estado da Bahia quais foram as despesas e contratos (com datas, valores e demais detalhes) que cobrem disparos em massa de mensagens via WhatsApp no ano de 2020. Gostaria também de saber quais as  bases de dados foram utilizadas para acesso aos números dos telefones das pessoas que receberam. Caso algum termo de consentimento tenha sido apresentado, gostaria também de ter acesso. Obrigada.

---

A resposta não atendeu às minhas expectativas, conforme prevê a lei de acesso a informação.

O site da resposta (http://www.secom.ba.gov.br/modules/conteudo/conteudo.php?conteudo=202) e também o de contratos (http://www.secom.ba.gov.br/modules/conteudo/conteudo.php?conteudo=155) foram consultados mas, infelizmente, não é possível visualizar nem no portal nem no arquivo baixado quais despesas são correspondentes aos disparos em massa via WhatsApp. Além disso, não foram respondidas as perguntas a respeito da base de dados e do consentimento: ""Gostaria também de saber quais as  bases de dados foram utilizadas para acesso aos números dos telefones das pessoas que receberam. Caso algum termo de consentimento tenha sido apresentado, gostaria também de ter acesso"".

Reitero meu pedido inicial na íntegra. Grata.

---

Prezados,

Pela resposta que recebi, parece que o texto do meu recurso não foi lido. O portal da transparência NÃO TRAZ as informações detalhadas sobre as campanhas de publicidade, por isso não é possível identificar onde foram contratados disparos de mensagem em massa.

Perguntei também a respeito da base de dados e o consentimento dos usuários. De onde foram tirados os números de telefone que receberam as mensagens? Qual o termo de consentimento usado para recebimento das mensagens?

Abaixo o texto do recurso anterior:

O site da resposta (http://www.secom.ba.gov.br/modules/conteudo/conteudo.php?conteudo=202) e também o de contratos (http://www.secom.ba.gov.br/modules/conteudo/conteudo.php?conteudo=155) foram consultados mas, infelizmente, não é possível visualizar nem no portal nem no arquivo baixado quais despesas são correspondentes aos disparos em massa via WhatsApp. Além disso, não foram respondidas as perguntas a respeito da base de dados e do consentimento: ""Gostaria também de saber quais as  bases de dados foram utilizadas para acesso aos números dos telefones das pessoas que receberam. Caso algum termo de consentimento tenha sido apresentado, gostaria também de ter acesso"".

Reitero meu pedido inicial na íntegra. Grata.
","""As informacoes sobre gastos realizados pela Secretaria de Comunicacao Social - SECOM com o  mencionado meio encontram-se disponiveis no Portal Transparencia Bahia, constando, inclusive, os veiculos de comunicacao subcontratados, podendo tais informacoes serem extraidas em Excel. Ha links disponiveis para consulta no sitio da SECOM (secom.ba.gov.br) atraves das abas: Institucional; Transparencia; Despesas com Publicidade; 2020."""
2020-08-14,,0,Controladoria Geral da União,CGU,FEDERAL,https://esic.cgu.gov.br/,Apresentação de recurso à CGU - pedido sobre disparos em massa,RESPONDIDO,14/08/2020 Apresentação de recurso à CGU - protocolo 00075.001700/2020-08,"Fiz um pedido de informação a Ouvidoria do Estado da Bahia mas não fui respondida de maneira satisfatória. O pedido foi para duas instâncias superiores, sendo que a segunda (atual) extrapolou o prazo para resposta e até agora não deu nenhum posicionamento a respeito. Solicitei informações a respeito de disparo em massa feitos pelo Governo da Bahia via WhatsApp a respeito de uma obra em Feira de Santana. No portal da transparência não foi possível encontrar qual foi a empresas/contratos/despesas responsáveis e nenhum detalhe à respeito de campanhas com disparos em massa, por isso solicitei informações a respeito disso e também a respeito do consentimento dos cidadãos e também qual a base de dados que foi utilizada. A ouvidoria apenas pediu para checar no portal da transparência e, apesar de ter checado e ter dito que não havia essa informação disponível, insistiu que eu deveria olhar lá. A respeito do consentimento e da base de dados utilizada para acesso aos telefones dos cidadãos de Feira de Santana não houve nenhuma resposta, apenas responsabilização da empresa contratada (que não foi citada o nome), sendo ignorada em todas as fases do processo.
Solicito apuração por parte da CGU, como parte do direito que me assegura a Lei de Acesso à Informação e apresento esse pedido como um recurso à CGU.",
2020-09-14,,385,Tribunal de Contas do Estado da Bahia,TCE-BA,ESTADUAL,https://www.tce.ba.gov.br/institucional/ouvidoria/manifestacao/nova-manifestacao,Apresentação de denúncia ao TCE-BA,EM ANDAMENTO,14/09/2020 Apresentação de denúncia ao TCE-BA. Protocolo: Q6O4IXYXWO,"Fiz um pedido de informação ao Estado da Bahia em 27 de Julho para entender os gastos por traz de disparos em massa feitos via WhatsApp a respeito de obras do estado, a fonte de dados e qual termo de consentimento utilizado para que os cidadãos recebessem tais mensagens. Embora já tenha checado o portal da transparência e não encontrado a empresa responsável, os órgãos responderam que a informação estaria disponível lá. Além disso, não informaram nada a respeito da privacidade dos cidadãos: nem a fonte de dados e nem se e qual termo de consentimento foi utilizado. O pedido de informação foi feito a ouvidoria do Estado e levado até a última instância - que há mais de um mês não dá nenhuma resposta, ao contrário dos 5 dias estipulados pela Lei de Acesso à Informação.
Número do protocolo: 2179392. Os pedidos e suas respostas encontram-se em anexo. A resposta ao recurso não se encontra no PDF impresso pelo sistema da ouvidoria do estado, por isso tirei screenshots da tela.",
2020-10-22,,347,Tribunal de Contas dos Municípios da Bahia,TCM-BA,ESTADUAL,https://www.tcm.ba.gov.br/protocolo-virtual/situacao-do-protocolo-virtual/?codProtocolo=2020102254798043252&id=52134,Solicitação dos links de todos os diários oficiais do município,PEDIDO NÃO PROCESSADO,"Protocolo: 2020102254798043252
07/12/2020 Não existe protocolo com esse código
14/12/2020 Ligação para o protocolo do TCM-BA. O pedido não foi processado.",,
2020-12-07,,0,Ministério Público da Bahia,MP-BA,ESTADUAL,https://www.mpba.mp.br/formulario/673,Documentação de como é feita a análise de portais da transparência,RESPONDIDO,"Protocolo: 202012076730003
07/12/2020 Pediram para entrar em contato com a CAOPAM diretamente
07/12/2020 Contato feito com a CAOPAM por e-mail
08/12/2020 Resposta com documentos (https://drive.google.com/file/d/1bVwAmeDctcidKVujhenInZ5pDsBTtaXl/view?usp=sharing)","No ofício nº 170/2020/21ªPJFS enviado em 16 de junho de 2020 a Sua Excelência o Senhor FRANK MONTEIRO FERRARI (Promotor de Justiça Coordenador do CAOPAM) foi solicitado uma análise do portal da transparência da Câmara de Vereadores de Feira de Santana à luz do que determinam a Lei de Acesso à Informação e a Lei de Responsabilidade Fiscal (Referência: IDEA 003.9.1723351/2019).
Baseada na Lei de Acesso à Informação, gostaria de solicitar documentos, parâmetros, manuais, listas e procedimentos ou qualquer documentação de como essa análise é feita. Obrigada.",
2020-12-08,2021-01-05,300,Superintendência Municipal de Trânsito de Feira de Santana,SMTT-FSA,MUNICIPAL,http://ocorrencia.smt.feiradesantana.ba.gov.br/contato,Ocorrências envolvendo ciclistas e pedestres em 2020,RESPONDIDO COM ATRASO,05/01/2021 Resposta por email através do secretário de comunicação Edson Borges,"Olá. Baseada na Lei de Acesso à Informação gostaria de solicitar acesso, em formato aberto e não-proprietário, as ocorrências envolvendo ciclista e pedrestes no ano de 2020 em Feira de Santana.
As informações devem incluir todos os detalhes das ocorrências, incluindo data e hora do acidente, local,
condições no local do acidente e o tipo de acidente.
Obrigada.",
2020-12-28,,280,Tribunal de Contas dos Municípios da Bahia,TCM-BA,ESTADUAL,https://www.tcm.ba.gov.br/protocolo-virtual/,Documentação de como é feita a análise de portais da transparência,SEM RESPOSTA,"Protocolo: 2020122846291122455 (https://www.tcm.ba.gov.br/protocolo-virtual/situacao-do-protocolo-virtual/?codProtocolo=2020122846291122455&id=54165)
03/03/2021 Contato realizado com a ouvidoria por e-mail",,
2020-12-29,2021-03-19,279,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,https://www.transparencia.feiradesantana.ba.leg.br/index.php?view=contato,Projetos de lei do ano de 2020,RESPONDIDO COM ATRASO,,"Olá! Venho solicitar, através da Lei de Acesso à Informação, a lista dos projetos de lei propostos pelos vereadores da Câmara Municipal de Feira de Santana em 2020, bem como em que estágio estão suas respectivas tramitações e os votos dos vereadores em cada projeto colocado em pauta. Solicito as informações sejam enviadas em formato aberto, de preferência .csv.",
2020-12-29,,279,Tribunal de Contas dos Municípios da Bahia,TCM-BA,ESTADUAL,https://www.tcm.ba.gov.br/ouvidoria/formular-manifestacao/,Como fazer pedidos de informação ao TCM-BA,SEM RESPOSTA,"Protocolo: 2020122918096065111 https://www.tcm.ba.gov.br/situacao-da-manifestacao/ https://www.tcm.ba.gov.br/situacao-da-manifestacao/?codManifestacao=2020122918096065111
03/03/2021 Contato realizado com a ouvidoria por e-mail",,
2021-01-07,2021-06-04,270,Secretaria de Segurança Pública do Estado da Bahia,SSP-BA,ESTADUAL,http://www.tag.ouvidoriageral.ba.gov.br/tag/ConsultaManif20201210.dll/,Ocorrências registradas pela polícia militar em Feira de Santana,RESPONDIDO APÓS RECURSO,07/01/2020 Pedido cadastrado. Número: Senha: 2280529 xaei6798,"Olá! Com fundamento na Lei 12.527/2011 (Lei de Acesso a Informação), gostaria de ter acesso aos dados de todas as ocorrências registradas pela polícia militar em Feira de Santana nos anos de 2017, 2018, 2019 e 2020. Os dados das ocorrências (microdados) devem incluir: delegacia, data e horário, local (endereço e/ou coordenadas geográficas), tipo de crime/razão, gênero, cor/raça. Informações adicionais são bem-vindas também. Solicito que os dados sejam disponibilizados em formato aberto (CSV), tal como prevê a lei de acesso à informação.
Outro pedido semelhante a esse foi atendido no ano passado, na demanda 2056824. Aproveito para sugerir que esses dados sejam liberados de maneira proativa, mês a mês, no site da secretaria. Seria de grande utilidade para a sociedade. Os dados atuais são liberados em um formato não estruturado e em formato fechado (PDF), o que torna muito difícil a análise e o acompanhamento. Estou a disposição para eventuais esclarecimentos. Obrigada.

---

Recurso:

A resposta contém uma negativa, mesmo a situação estando prevista na lei de acesso a informação.

Além disso, o mesmo pedido já foi deferido no passado - ou seja: tecnicamente a consulta ou script já foi feito, sendo necessário adicionar poucas informações e apenas ampliar o período. Sou programadora e entendo que, para algo que já foi feito anteriormente e para um órgão que necessita de métricas o tempo inteiro como a polícia, isso não deve ser um problema.

O pedido foi atendido anteriormente na demanda 2056824.
","Após recursos, o pedido foi atendido. Porém os dados enviados foram até 2019. Solicitamos os dados de 2020, como no período original, e levou quase 2 meses para receber o pedido."
2021-01-08,2021-03-19,269,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,https://www.transparencia.feiradesantana.ba.leg.br/index.php?view=contato,Informações sobre a regulamentação da LAI,RESPONDIDO COM ATRASO,,Olá. Na avaliçao EBT o município informou que a Lei de Acesso à Informação foi regulamentada em Feira de Santana (https://mbt.cgu.gov.br/publico/avaliacao/200000003/planejamento_geral/questionario/unidade/4025/resposta/200000001) mas olhando o site (https://leismunicipais.com.br) não é possível encontrar nenhuma lei relacionada. Gostaria de solicitar mais informações sobre a regulamentação da LAI no município. Obrigada!,
2021-03-03,,215,Tribunal de Contas dos Municípios da Bahia,TCM-BA,ESTADUAL,https://www.tcm.ba.gov.br/protocolo-virtual/,Acesso ao contrato da auditoria no transporte público,SEM RESPOSTA,"Protocolo cadastrado com sucesso. Esse é seu código: 2021030315574135040. Acompanhe seu Protocolo pelo link: https://www.tcm.ba.gov.br/protocolo-virtual/situacao-do-protocolo-virtual/
12/04/2021 Contato com a ouvidoria","Olá! Com base na Lei de Acesso à Informação gostaria de solicitar acesso ao contrato 571-2018-19C do município de Feira de Santana, firmado entre Agosto e Outubro de 2018. Caso o contrato não esteja cadastrado no SIGA e indisponível nas bases de dados do TCM-BA, gostaria de saber também, por gentileza.
Procurei em diversas páginas da Consulta Pública (https://e.tcm.ba.gov.br/epp/ConsultaPublica/listView.seam) mas não encontrei. Mais informações:

CONTRATO LICITAÇÃO 141-2018 –CONCORRENCIA PÚBLICA 051-2018 CONTRATO:571-2018-19C
CONTRATANTE:MUNICÍPIO DE FEIRA DE SANTANA. CONTRATADA:DELOITTE TOUCHE TOHMATSU  CONSULTORES  LTDA OBJETO:contratação  de  empresa  de  consultoria  e  apoio  técnico  necessários  à execução do estudo do equilíbrio-econômico financeiro do contrato de concessão e Revisão Tarifária  prevista no Edital de Licitação 008/2015 da Concessão do Serviço de Transporte Coletivo Urbano por Ônibus para o Município de  Feira  de  Santana –STCU,  consoante  previsto  itens  5.8  a  5.10.9  e  nos  Contratos  de  Concessões  do  Transporte Coletivo  Urbano  deste  Município. ASSINATURA  DO  CONTRATO:  09/08/2018. VALOR:R$  797.000,00,  obtendo  a pontuação nota final de 85,06.Feira de Santana, 08/10/2018 –Colbert Martins da Silva Filho -Prefeito
http://www.diariooficial.feiradesantana.ba.gov.br/atos/executivo/1KRDDO8102018.pdf

Obrigada.",
2021-04-11,,176,Câmara Municipal de Feira de Santana,CMFS,MUNICIPAL,https://www.feiradesantana.ba.leg.br/ouvidoria.asp,Agenda das sessões não está mais no site,SEM RESPOSTA,,Olá! Notamos que a agenda das sessões não consta mais no site. Essa página era o único lugar onde poderíamos saber o que seria ou foi votado/discutido nas sessões. Onde no site poderemos acessar tais informações? Obrigada.,
2021-04-14,,173,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,http://www.transparencia.feiradesantana.ba.gov.br/index.php?view=contato,Acesso aos pedidos de informação feitos a prefeitura,SEM RESPOSTA,Protocolo: 18152/21,"Com base na Lei de Acesso à Informação (LAI) gostaria de solicitar acesso aos pedidos de informação feitos a Prefeitura Municipal de Feira de Santana nos últimos 5 anos (2016 a 2021) com as seguintes informações:
* Qual o objeto do pedido e seu texto
* Quando foi recebido
* Quando foi respondido
* A resposta ao pedido

O formato dos dados da resposta a esse pedido deve ser aberto, como também especificado na LAI.
Obrigada.
",
2021-10-01,,3,Prefeitura Municipal de Feira de Santana,PMFS,MUNICIPAL,"http://www.transparencia.feiradesantana.ba.gov.br/index.php?view=contato (deu erro)
transparencia@sefaz.feiradesantana.ba.gov.br",Quais informações são necessárias para fazer um pedido de informação,EM ANDAMENTO,,"Olá,

Em defesa apresentada junto ao Ministério Público da Bahia a Prefeitura de Feira alegou que um pedido de informação não foi respondido por conta de falta de informações da requerente. Embora todos os campos tenham sido preenchidos nesse mesmo formulário que envio agora, gostaria de saber quais informações são necessárias para que um pedido de informação seja respondido e por onde posso acompanhar o progresso. Lembrando que a Lei de Acesso à Informação garante que o cidadão faça pedidos de forma anônima, inclusive.

Conto com a ajuda de vocês.
Muito grata.",
